SurveyID,SurveyTitle,ResponseID,DateTime,"Module Type",Sector,"Training Level","Languages Spoken","Module Title","Location Physical Country","Tools Used","Actions To Attract Learners","Certificate Of Attendance","Duration Of Implemented Module","Location Of Materials","Materials Used","(Estimated) male learners enrolled","(Estimated) female learners enrolled","(Estimated) non-binary learners enrolled","Number of learners cybersecurity self-trained","Students Successfully Completed",EduBackgroundLessThanHighschool,EduBackgroundHighSchoolDiploma,EduBackgroundCollegeNoDegree,EduBackgroundUndergraduate,EduBackgroundMaster,EduBackgroundPhD,EduBackgroundOther,"General Feedback From Trainers","Recommendations For Best Practices","Recommendations For Expanding","Recommendations For Future Initiatives",Q1_Value,Q1_Text,Q2_Value,Q2_Text,Q3_Value,Q3_Text,Q4_Value,Q4_Text,Q5_Value,Q5_Text,Q6_Value,Q6_Text,Q18_Value,Q18_Text,Q7_Value,Q7_Text,Q8_Value,Q8_Text,Q9_Value,Q9_Text,Q10_Value,Q10_Text,Q11_Value,Q11_Text,Q12_Value,Q12_Text,Q13_Value,Q13_Text,Q19_Value,Q14_Value,Q14_Text,Q15_Value,Q16_Value,Q17_Value
113,"Trainer Survey",75,"2026-02-15 22:26:49","Workshop (W)",Maritime,Advanced,English,"CSP010 - Penetration Testing",Greece,"Nmap
Powershell
Exploits
Mimikatz
Hashcat
","none ",No,16.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=82,"no extra materials only the presentations ",15,10,0,5,20,0,0,0,25,0,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"no need ","Partner with industry","no need ",6,"6 - Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",6,"6 - Most trainees",6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","they are good !!!",,
114,"Trainer Survey",76,"2026-02-15 22:27:48","Workshop (W)",Maritime,Advanced,English,"CSP011 - Cyber Ranges and Operations",Greece,"Bloodhound
Sentinel
Wazuh","none ",No,16.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=80,"the training material - presentations ",15,10,0,0,25,0,0,0,25,0,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"Continuously update the module with the latest cybersecurity trends","no need ","Foster collaboration with industry clusters ",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",6,"6 - To a Large Extent",7,"7 - All students",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - To a Large Extent",10,"10 - Extremely likely",,,,,,
115,"Trainer Survey",14,"2025-05-09 05:36:30","Course (C)",Energy,Basic,English,"CSP001 - Cybersecurity Essentials and Management","Unknown Country","Several tools may be applied, such as: Nmap, Nessus, Wireshark, Suricata, Wazuh, Metasploit, Hydra, Jupyter Notebooks, VirtualBox, NFStream, ELK Stack, pfSense, Tshark, Metadon (PDM tool), Chimera (PDM Tool), Metago (PDM Tool), Caldera, eRamba, OpenCTI, MS Threat Modelling Tool, GPG, OpenSSL, Snort, YARA rules, Sigma Rules, Nessus, OpenVAS, MISP, STIX, TAXII, WPScan, Hping, LOIC, Splunk, ufw, Windows firewall, Vsftpd, Bitlocker, Cryptool2, OpenSSH, PuTTY, Kleopatra (for PGP), Veracrypt/Truecrypt, Thunderbird (for PGP and S/MIME), and XCA. Also, there are other online tools that will widely be considered such as ENISA CIRAS (https://ciras.enisa.europa.eu), CloudShark (https://www.cloudshark.org/),  cryptii (https://cryptii.com) or those belonging to asecuritysite (https://asecuritysite.com).  
Any other tool used will be dynamically posted in the DCM platform
","The attraction was mainly based on social media.
We did not have any especial group.",No,18.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=23,"The materials have been elaborated based on own material.
Specifically, materials used to teach have been PPT and Canvas LMS.",9,2,0,5,17,1,1,0,5,3,1,1,"The D3.1 template was used, and only some trainers have provided the form, particularly 4 trainers. 
This information has been managed by LAU. ","Reduce the number of hours since the module in general with 150h is a lot, even if there are many topics dealing with different things.","Introduce more people from the industry in order to inject more practical exercises.","Foster the collaboration industry-academy, probably with a more enriched clusters with industry partners.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",6,"6 - To a Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,6,"6 - Likely","- To include more standards, recommendations and normative
- To consider aspects about cyber-intelligence and sharing.
","- To propose more practical activities (e.g., through tests) in order to intensify the activities and reforrce knowledge.
- To extend the methodology of game serious to more topics; and intensify the practical activities.","No comments"
116,"Trainer Survey",61,"2025-11-17 10:18:37","Cybersecurity exercise (CS-E)",Health,Basic,English,"CSP001 - Cybersecurity Essentials and Management",Denmark,"Zoom, Unity Game Engine, Google survey",None,No,45.00,"https://rxb-game.seriousgames.net/ ","Game Introduction video to explain the game
Game Quiz and Survey
Course Power point introduction
Game WebGL game (adapted to the CSP project with Health, maritime and health scenarios)

All of these materials can be accessed through the CyberSecPro DCM platform.",31,3,0,20,34,0,15,9,10,0,0,0,https://docs.google.com/forms/d/1EppcQFX7cK2RPckeUnvtyY-oXBklYmsqUJVkRwhII1o/edit,"Enrich the training module by incorporating additional interactive exercises.
Keep the module up-to-date by integrating the latest cybersecurity trends.","Collaborate with industry partners to strengthen the module's relevance and reach.
Promote the module using targeted marketing strategies.","Embed cybersecurity best practices from recognized frameworks into educational programs.
Build partnerships with industry networks to ensure continuous skill enhancement for training attendees.
Strengthen ties between EU member states to harmonize and expand cybersecurity education initiatives.",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",,,6,"6 - To a Large Extent",6,"6 - To a Large Extent",5,"5 - Many trainees",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - To a Large Extent",9,9,yes,5,"5 - Slightly Likely",,,
117,"Trainer Survey",62,"2025-11-17 10:22:22","Cybersecurity exercise (CS-E)",Maritime,Basic,English,"CSP001 - Cybersecurity Essentials and Management",Denmark,"Zoom, Unity Game Engine ",None,No,45.00,"https://rxb-game.seriousgames.net/ ","Game Introduction video to explain the game
Game Quiz and Survey
Course Power point introduction
Game WebGL game (adapted to the CSP project with Health, maritime and health scenarios)

All of these materials can be accessed through the CyberSecPro DCM platform.",28,6,0,0,28,0,28,3,3,0,0,0,:https://docs.google.com/forms/d/1EppcQFX7cK2RPckeUnvtyY-oXBklYmsqUJVkRwhII1o/edit,"Enrich the training module by incorporating additional interactive exercises.
Keep the module up-to-date by integrating the latest cybersecurity trends.","Collaborate with industry partners to strengthen the module's relevance and reach.
Promote the module using targeted marketing strategies.","Embed cybersecurity best practices from recognized frameworks into educational programs.
Build partnerships with industry networks to ensure continuous skill enhancement for training attendees.
Strengthen ties between EU member states to harmonize and expand cybersecurity education initiatives.",7,"7 - Very Satisfied",,,7,"7 - Very Satisfied",,,7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",6,"6 - Most trainees",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely","The students were approx. 3/4 through the lectures (missing only Cooperate Govern models) and was therefore well equipped to understand the issues, terms and possibilities that the game provided. Therefore, fundamental cybersecurity knowledge is an advantage before the game start.",7,"7 - Extremely Likely",,,"Very good to underline cybersecurity dilemmas for a company

The game is best at the end of the fundamental’s lessons. You need to know the functions of network nodes
WAN/LAN/IP addresses etc."
118,"Trainer Survey",63,"2025-11-17 10:25:03","Cybersecurity exercise (CS-E)",Energy,Basic,English,"CSP001 - Cybersecurity Essentials and Management",Denmark,"Zoom, Unity Game Engine, google survey, ",None,No,45.00,"https://rxb-game.seriousgames.net/ ","Game Introduction video to explain the game
Game Quiz and Survey
Course Power point introduction
Game WebGL game (adapted to the CSP project with Health, maritime and health scenarios)

All of these materials can be accessed through the CyberSecPro DCM platform.",30,3,1,0,34,0,20,4,11,0,0,0,:https://docs.google.com/forms/d/1EppcQFX7cK2RPckeUnvtyY-oXBklYmsqUJVkRwhII1o/edit,"Enrich the training module by incorporating additional interactive exercises.
Keep the module up-to-date by integrating the latest cybersecurity trends.","Collaborate with industry partners to strengthen the module's relevance and reach.
Promote the module using targeted marketing strategies.","Embed cybersecurity best practices from recognized frameworks into educational programs.
Build partnerships with industry networks to ensure continuous skill enhancement for training attendees.
Strengthen ties between EU member states to harmonize and expand cybersecurity education initiatives.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",6,"6 - To a Large Extent",6,"6 - Most trainees",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely","Yes, no suggestions for improvements",7,"7 - Extremely Likely",,,
119,"Trainer Survey",42,"2025-07-11 15:14:40","Seminar (S)",Health,Advanced,"English, Greek","CSP003 - Cybersecurity Risk Management and Governance",Cyprus,None,None,"Yes, only for full attendance",8.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=49,"Powerpoint presentation",11,0,0,2,11,0,0,0,10,1,0,0,"CyberSecPro Training Module Evaluation document - Trainers - WP5 form","Extend the duration of the module, in order to cover more risk related exercises. ","No information provided.","No information provided.",6,"6 - Satisfied",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Very Relevant",7,"7 - To a Very Large Extent",6,"6 - To a Large Extent",6,"6 - Most trainees",,,,,,,,,,,7,"7 - To a Very Large Extent",10,"10 - Extremely likely",No,7,"7 - Extremely Likely","Provide further theoretical resources Identify possible dependencies or pre-requisites with other CSP modules","Provide more time.
Add more interactive activities.",None
121,"Trainer Survey",10,"2025-05-07 13:25:44","Course (C)",Energy,Advanced,English,"CSP004 - Network Security","Unknown Country","GNS3 Client and VM, Kali Linux, Virtualbox, Arpspoof, Bettercap, Wireshark, CloudShark, Hping3, xarp, Arpwatch, Suricata, Snort, Snort Analyzer, Raspberrypi Linux Image, pyModbusTCP, ufw, OpenVAS, Nmap, Nmap-vulners, IPtables, nftables, iPerf3, Scapy, Hydra, Zenmap, Etherape, legion, Ettercap, Vsftpd (ftp client-server), telnet (client-server), fping, ping, ss, OpenVPN/Wireguard, Metasploitable2 VM, the online CVSS 3.0/3.1 calculator, Wazuh, among others.","We have announced the course between students (e.g., internal forums), social medial, and CSP website. ",No,20.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=37,"The materials are available at https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=37, which have been designed according to the experience and previous materials that the trainers had. Additionally, trainers have used PPT for the lectures, GNS3 for the practical demonstrations, virtual machines, and multiple cybersecurity software/tools.",9,1,0,0,9,0,2,1,2,2,0,0,https://moodle.cybersecpro.grisenergia.pt/mod/feedback/analysis.php?id=555,"We provided the flipped classroom and everything run very well. Nothing to add.","We provided the flipped classroom and everything run very well. Nothing to add.","We provided the flipped classroom and everything run very well. Nothing to add.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",,,7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","Extends Wazuh's part with more practical examples, and a comparative study with the other similar approaches, such as Splunk, or any other similar ones

Include more examples of vulnerability scanners, such as OpenVAS, Nessus, etc.","Include more basic information about the network security.

The online sessions went quite well, but it was some challenges in communicating with students to solve practical issues.
",
126,"Trainer Survey",57,"2025-09-01 14:32:44","Course (C)",Maritime,Basic,"English, French","CSP012 - Digital Forensics",France,"Documentary support : MS Office Powerpoint
Wireshark, Tshark, Python, Tensorflow, ",None,No,8.00,"CSP Moodle Link to be provided","The developped training platform including the SCADA simulation platform was not used",1,0,0,1,6,0,0,0,0,6,0,0,"Locally provided","Adapt the module to less skilled students in Cybersecurity","Promote the module within other training programs as the one provided by the university
Propose the module to other trainers","Develop ""generic real world scenarios"" to capture the attention of all students - this should feel students more concerned ",6,"6 - Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",4,"4 - Somewhat Relevant",3,"3 - To a Small Extent",5,"5 - To a Fairly Large Extent",3,"3 - Some trainees",6,"6 - Satisfied",,,7,"7 - Very Satisfied",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",5,"5 - To a Fairly Large Extent",8,8,"Have more specific evaluations",6,"6 - Likely","In having specific platforms for on-hands training",?,No
127,"Trainer Survey",53,"2025-07-31 16:11:46","Seminar (S)",Energy,Basic,English,"CSP002 - Human Factors and Cybersecurity",Greece,">>  Social Engineering Techniques
>> Mentioning of Password managers and Penetration Tools including NMap and Wireshark However, not hands-on practices for trainee","Training advertisements were placed in all communication channels available to learners. ",No,3.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=41,none,6,4,0,3,10,0,0,0,10,0,0,0,"Later on DCM","Specific Tools Demo and Practice for the Trainees","Partner with industry
Promote the module through targeted marketing","Using European Cybersecurity Skills Framework Role as mapping with the currculum.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",7,"7 - Extremely Relevant",6,"6 - To a Large Extent",6,"6 - To a Large Extent",6,"6 - Most trainees",4,"4 - Neutral",,,4,"4 - Neutral",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - To a Large Extent",9,9,"theioretical course. Needs practical tasks",7,"7 - Extremely Likely","needs practicalaspects","needs pratical aspects","needs practical aspects"
129,"Trainer Survey",25,"2025-06-21 13:11:36","Seminar (S)",Energy,Advanced,"English, Greek","CSP010 - Penetration Testing",Greece,"Binary related tools ",none,No,3.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=53,"no material used ",5,2,0,1,5,0,0,0,3,3,1,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"no enhancement is needed  ","no expanding is needed ","more theory before the lab ",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",5,"5 - To a Fairly Large Extent",5,"5 - To a Fairly Large Extent",,,,,,,,,,,,,5,"5 - To a Fairly Large Extent",7,7,,5,"5 - Slightly Likely",,,
