SurveyID,SurveyTitle,ResponseID,Module Type,Training Level,Module Title,Tools Used,Certificate Of Attendance,(Estimated) male learners enrolled,(Estimated) female learners enrolled,(Estimated) non-binary learners enrolled,Number of learners cybersecurity self-trained,Students Successfully Completed,EduBackgroundLessThanHighschool,EduBackgroundHighSchoolDiploma,EduBackgroundCollegeNoDegree,EduBackgroundUndergraduate,EduBackgroundMaster,EduBackgroundPhD,EduBackgroundOther,People Reporting Improved Employment Situation,Recommendations For Best Practices,Recommendations For Expanding,Recommendations For Future Initiatives,Q15_Value,Q15_Text,Q16_Value,Q16_Text,Q17_Value,Q17_Text,Q18_Value,Q18_Text,Q19_Value,Q19_Text,Q20_Value,Q20_Text,Q21_Value,Q21_Text,Q22_Value,Q22_Text,Q23_Value,Q23_Text,Q24_Value,Q24_Text,Q25_Value,Q25_Text,Q26_Value,Q26_Text,Q27_Value,Q27_Text,Q28_Value,Q28_Text,Q29_Value,Q29_Text,Q30_Value,Q30_Text,Q31_Value,Q31_Text,Q32_Value,Q32_Text,Q33_Value,Q33_Text,Q34_Value,Q34_Text,Q35_Value,Q35_Text,Q36_Value,Q36_Text,Q37_Value,Q38_Value
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,38,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,5,5 - Moderately Relevant,5,5 - To a Fairly Large Extent,6,6 - Likely,8,8,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,41,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Extremely Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,,,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,43,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Extremely Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,10,10 - Extremely likely,great,thx
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,46,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,4,4 - Neutral,4,4 - Neutral,5,5 - Somewhat Satisfied,7,7 - Very Satisfied,5,5 - Somewhat Satisfied,3,3 - Somewhat Dissatisfied,3,3 - Somewhat Dissatisfied,3,3 - Somewhat Dissatisfied,4,4 - Neutral,2,2 - Dissatisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,4,4 - Somewhat Relevant,4,4 - To a Moderate Extent,4,4 - Neutral,6,6,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,47,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Extremely Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,10,10 - Extremely likely,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,50,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,5,5 - Somewhat Satisfied,6,6 - Satisfied,5,5 - Somewhat Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,5,5 - Moderately Relevant,5,5 - To a Fairly Large Extent,6,6 - Likely,7,7,,
10,CSP008_S_E: Protecting Charging Stations Against Specific Threats,52,Seminar (S),Advanced,CSP008 - Critical Infrastructure Security,Not yet,No,11,6,0,10,17,0,1,0,6,10,0,0,,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,Not really. The module was addressed correctly.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,5,5 - Moderately Relevant,6,6 - To a Large Extent,6,6 - Likely,8,8,,
11,CPS004_C_E: Network Protection for Energy Control Systems,24,Course (C),Advanced,CSP004 - Network Security,"GNS3 Client and VM, Kali Linux, Virtualbox, Arpspoof, Bettercap, Wireshark, CloudShark, Hping3, xarp, Arpwatch, Suricata, Snort, Snort Analyzer, Raspberrypi Linux Image, pyModbusTCP, ufw, OpenVAS, Nmap, Nmap-vulners, IPtables, nftables, iPerf3, Scapy, Hydra, Zenmap, Etherape, legion, Ettercap, Vsftpd (ftp client-server), telnet (client-server), fping, ping, ss, OpenVPN/Wireguard, Metasploitable2 VM, the online CVSS 3.0/3.1 calculator, Wazuh, among others.","Yes, Other",12,7,0,7,19,0,1,0,6,11,1,0,,"This module may be complex for some students who are not familiar with network environments. 
Prior training on this topic is required (as a previous requirement).

Also the time factor is a limiting factor, or reduce the scope of the module to cover in a reasonable time al the sections without pressure.",Promote more the implicit of industrial partners.,Promote more the implicit of industrial partners.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,5,5 - Somewhat Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,5,5 - Moderately Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,10,10 - Extremely likely,,
11,CPS004_C_E: Network Protection for Energy Control Systems,26,Course (C),Advanced,CSP004 - Network Security,"GNS3 Client and VM, Kali Linux, Virtualbox, Arpspoof, Bettercap, Wireshark, CloudShark, Hping3, xarp, Arpwatch, Suricata, Snort, Snort Analyzer, Raspberrypi Linux Image, pyModbusTCP, ufw, OpenVAS, Nmap, Nmap-vulners, IPtables, nftables, iPerf3, Scapy, Hydra, Zenmap, Etherape, legion, Ettercap, Vsftpd (ftp client-server), telnet (client-server), fping, ping, ss, OpenVPN/Wireguard, Metasploitable2 VM, the online CVSS 3.0/3.1 calculator, Wazuh, among others.","Yes, Other",12,7,0,7,19,0,1,0,6,11,1,0,,"This module may be complex for some students who are not familiar with network environments. 
Prior training on this topic is required (as a previous requirement).

Also the time factor is a limiting factor, or reduce the scope of the module to cover in a reasonable time al the sections without pressure.",Promote more the implicit of industrial partners.,Promote more the implicit of industrial partners.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,5,5 - Somewhat Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Very Relevant,5,5 - To a Fairly Large Extent,6,6 - Likely,8,8,"Facilitating the usage and installation of some sw, overall was great",
11,CPS004_C_E: Network Protection for Energy Control Systems,29,Course (C),Advanced,CSP004 - Network Security,"GNS3 Client and VM, Kali Linux, Virtualbox, Arpspoof, Bettercap, Wireshark, CloudShark, Hping3, xarp, Arpwatch, Suricata, Snort, Snort Analyzer, Raspberrypi Linux Image, pyModbusTCP, ufw, OpenVAS, Nmap, Nmap-vulners, IPtables, nftables, iPerf3, Scapy, Hydra, Zenmap, Etherape, legion, Ettercap, Vsftpd (ftp client-server), telnet (client-server), fping, ping, ss, OpenVPN/Wireguard, Metasploitable2 VM, the online CVSS 3.0/3.1 calculator, Wazuh, among others.","Yes, Other",12,7,0,7,19,0,1,0,6,11,1,0,,"This module may be complex for some students who are not familiar with network environments. 
Prior training on this topic is required (as a previous requirement).

Also the time factor is a limiting factor, or reduce the scope of the module to cover in a reasonable time al the sections without pressure.",Promote more the implicit of industrial partners.,Promote more the implicit of industrial partners.,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,,,,,,,10,10 - Extremely likely,,
11,CPS004_C_E: Network Protection for Energy Control Systems,30,Course (C),Advanced,CSP004 - Network Security,"GNS3 Client and VM, Kali Linux, Virtualbox, Arpspoof, Bettercap, Wireshark, CloudShark, Hping3, xarp, Arpwatch, Suricata, Snort, Snort Analyzer, Raspberrypi Linux Image, pyModbusTCP, ufw, OpenVAS, Nmap, Nmap-vulners, IPtables, nftables, iPerf3, Scapy, Hydra, Zenmap, Etherape, legion, Ettercap, Vsftpd (ftp client-server), telnet (client-server), fping, ping, ss, OpenVPN/Wireguard, Metasploitable2 VM, the online CVSS 3.0/3.1 calculator, Wazuh, among others.","Yes, Other",12,7,0,7,19,0,1,0,6,11,1,0,,"This module may be complex for some students who are not familiar with network environments. 
Prior training on this topic is required (as a previous requirement).

Also the time factor is a limiting factor, or reduce the scope of the module to cover in a reasonable time al the sections without pressure.",Promote more the implicit of industrial partners.,Promote more the implicit of industrial partners.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Extremely Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,10,10 - Extremely likely,great,Good job
11,CPS004_C_E: Network Protection for Energy Control Systems,31,Course (C),Advanced,CSP004 - Network Security,"GNS3 Client and VM, Kali Linux, Virtualbox, Arpspoof, Bettercap, Wireshark, CloudShark, Hping3, xarp, Arpwatch, Suricata, Snort, Snort Analyzer, Raspberrypi Linux Image, pyModbusTCP, ufw, OpenVAS, Nmap, Nmap-vulners, IPtables, nftables, iPerf3, Scapy, Hydra, Zenmap, Etherape, legion, Ettercap, Vsftpd (ftp client-server), telnet (client-server), fping, ping, ss, OpenVPN/Wireguard, Metasploitable2 VM, the online CVSS 3.0/3.1 calculator, Wazuh, among others.","Yes, Other",12,7,0,7,19,0,1,0,6,11,1,0,,"This module may be complex for some students who are not familiar with network environments. 
Prior training on this topic is required (as a previous requirement).

Also the time factor is a limiting factor, or reduce the scope of the module to cover in a reasonable time al the sections without pressure.",Promote more the implicit of industrial partners.,Promote more the implicit of industrial partners.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Extremely Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,10,10 - Extremely likely,It is great,Great Learning experience
11,CPS004_C_E: Network Protection for Energy Control Systems,33,Course (C),Advanced,CSP004 - Network Security,"GNS3 Client and VM, Kali Linux, Virtualbox, Arpspoof, Bettercap, Wireshark, CloudShark, Hping3, xarp, Arpwatch, Suricata, Snort, Snort Analyzer, Raspberrypi Linux Image, pyModbusTCP, ufw, OpenVAS, Nmap, Nmap-vulners, IPtables, nftables, iPerf3, Scapy, Hydra, Zenmap, Etherape, legion, Ettercap, Vsftpd (ftp client-server), telnet (client-server), fping, ping, ss, OpenVPN/Wireguard, Metasploitable2 VM, the online CVSS 3.0/3.1 calculator, Wazuh, among others.","Yes, Other",12,7,0,7,19,0,1,0,6,11,1,0,,"This module may be complex for some students who are not familiar with network environments. 
Prior training on this topic is required (as a previous requirement).

Also the time factor is a limiting factor, or reduce the scope of the module to cover in a reasonable time al the sections without pressure.",Promote more the implicit of industrial partners.,Promote more the implicit of industrial partners.,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,,,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,5,5 - Somewhat Satisfied,5,5 - Somewhat Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,5,5 - Somewhat Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,5,5 - Moderately Relevant,6,6 - To a Large Extent,5,5 - Slightly Likely,10,10 - Extremely likely,,
11,CPS004_C_E: Network Protection for Energy Control Systems,35,Course (C),Advanced,CSP004 - Network Security,"GNS3 Client and VM, Kali Linux, Virtualbox, Arpspoof, Bettercap, Wireshark, CloudShark, Hping3, xarp, Arpwatch, Suricata, Snort, Snort Analyzer, Raspberrypi Linux Image, pyModbusTCP, ufw, OpenVAS, Nmap, Nmap-vulners, IPtables, nftables, iPerf3, Scapy, Hydra, Zenmap, Etherape, legion, Ettercap, Vsftpd (ftp client-server), telnet (client-server), fping, ping, ss, OpenVPN/Wireguard, Metasploitable2 VM, the online CVSS 3.0/3.1 calculator, Wazuh, among others.","Yes, Other",12,7,0,7,19,0,1,0,6,11,1,0,,"This module may be complex for some students who are not familiar with network environments. 
Prior training on this topic is required (as a previous requirement).

Also the time factor is a limiting factor, or reduce the scope of the module to cover in a reasonable time al the sections without pressure.",Promote more the implicit of industrial partners.,Promote more the implicit of industrial partners.,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,,,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,6,6 - Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Very Satisfied,7,7 - Extremely Relevant,7,7 - To a Very Large Extent,7,7 - Extremely Likely,9,9,,
